customer,date,company,reference,email,status,action
[object Object],3/26/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],2/6/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],9/6/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],11/7/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],5/6/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],2/14/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],7/30/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],6/30/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],8/9/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],8/4/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],4/5/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],8/9/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],2/10/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],2/10/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],5/20/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],5/3/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],10/31/2021,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],1/13/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],6/14/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],10/8/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],11/17/2021,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],4/4/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],3/21/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],6/18/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],8/15/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],4/28/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],9/6/2021,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],9/11/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],1/27/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],9/16/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],1/8/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],11/18/2021,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],3/30/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],11/13/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],12/7/2021,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],9/9/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],2/12/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],3/6/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],7/25/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],3/2/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],12/8/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],11/22/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],4/6/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],2/4/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
[object Object],3/30/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],11/20/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],10/24/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],6/30/2022,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],11/16/2021,PT SAAS,23193712937216,contoh@saas-studios.com,inactive,
[object Object],8/15/2022,PT SAAS,23193712937216,contoh@saas-studios.com,active,
